icon;domain;measure;spatial_scope;temporal_scope;var_name;ka;label_de;unit
;final_energy;EE-Bilanz;Thermisch;Warmwasser;EUIdhw_other;;Sonstige;kWh/m²NGFa
;final_energy;EE-Bilanz;Thermisch;Quartier;EUI_other;;Sonstige;kWh/m²NGFa
;final_energy;EE-Bilanz;Thermisch;;EUI_mob_fossil;;MIV Fossil;kWh/m²NGFa
;final_energy;EE-Bilanz;Thermisch;Quartier;EUIh_2th;;Heizen 2;kWh/m²NGFa
;final_energy;EE-Bilanz;Thermisch;Quartier;EUIh_4th;;Heizen 4;kWh/m²NGFa
;final_energy;EE-Bilanz;Thermisch;Quartier;EUIc_2th;;Kühlen 2;kWh/m²NGFa
;final_energy;EE-Bilanz;Thermisch;Quartier;EUIdhw_1th;;WWWB1;kWh/m²NGFa
;final_energy;EE-Bilanz;Thermisch;Quartier;EUIdhw_2th;;WWWB2;kWh/m²NGFa
;final_energy;EE-Bilanz;Elektrisch;Quartier;Grid_total_flexandnotflex;;Netzstrom insg. (Flexibel und Inflexibel);kWh/m²NGFa
;primray_energy;PE-Bilanz;;;context_factor_density;;Kontextfaktor bauliche Dichte;kWhPEges./m²NGFa
;primray_energy;PE-Bilanz;;;context_factor_mobility;;Kontextfaktor Mobilität;kWhPEges./m²NGFa
;primray_energy;PE-Bilanz;;;context_factor_renovation;;Kontextfaktor Sanierung;kWhPEges./m²NGFa
;primray_energy;PE-Netzäquivalenz-Bilanz;Bedarf;;PEI_demand;;Betriebsenergie;kWhPEges./m²NGFa
;primray_energy;PE-Netzäquivalenz-Bilanz;Bedarf;;PEI_el_plugloads;;Nutzerstrom;kWhPEges./m²NGFa
;primray_energy;PE-Netzäquivalenz-Bilanz;Bedarf;;PEI_el_hvac;;HKLS Strom;kWhPEges./m²NGFa
;primray_energy;PE-Netzäquivalenz-Bilanz;Bedarf;;PEI_district_heating;;HKLS Fernwärme;kWhPEges./m²NGFa
;primray_energy;PE-Netzäquivalenz-Bilanz;Bedarf;;PEI_natural_gas;;HKLS Erdgas;kWhPEges./m²NGFa
;primray_energy;PE-Netzäquivalenz-Bilanz;Bedarf;;PEI_biomass;;HKLS Biomasse;kWhPEges./m²NGFa
;primray_energy;PE-Netzäquivalenz-Bilanz;Bedarf;;PEI_other;;HKLS Sonstige;kWhPEges./m²NGFa
;primray_energy;PE-Netzäquivalenz-Bilanz;Bedarf;;PEI_mob_total;;Mobilität (MIV);kWhPEges./m²NGFa
;primray_energy;PE-Netzäquivalenz-Bilanz;Bedarf;;PEI_mob_fossile;;MIV Fossil;kWhPEges./m²NGFa
;primray_energy;PE-Netzäquivalenz-Bilanz;Bedarf;;PEI_mob_el;;MIV Elektrisch;kWhPEges./m²NGFa
;primray_energy;PE-Netzäquivalenz-Bilanz;Bedarf;;PEI_storage_losses;;Speicher-Verluste;kWhPEges./m²NGFa
;;PE-Netzäquivalenz-Bilanz;Deckung;;PEI_cf_density;;Kontext bauliche Dichte;kWhPEges./m²NGFa
;;PE-Netzäquivalenz-Bilanz;Deckung;;PEI_cf_mobility;;Kontext Mobilität;kWhPEges./m²NGFa
;;PE-Netzäquivalenz-Bilanz;Deckung;;PEI_cf_renovation;;Kontext Sanierung;kWhPEges./m²NGFa
;;PE-Netzäquivalenz-Bilanz;Deckung;;PEI_sub_PV;;Lokale Erneuerbare (Netzstrom Substitutionsäquivalent);kWhPEges./m²NGFa
;;PE-Netzäquivalenz-Bilanz;Deckung;;PEI_sub_flex;;Energieflexibilität (Netzstrom Substitutionsäquivalent);kWhPEges./m²NGFa
;;PE-Netzäquivalenz-Bilanz;Saldo;;PEI_balance;;PE-Bilanz Netzäquivalent;kWhPEges./m²NGFa
;;PE-ImportExport Bilanz;Import;;PEI_grid_import;;Netzbezug;kWhPEges./m²NGFa
;;;;;PEI_flex_import;;Flexibler Bezug;kWhPEges./m²NGFa
;;PE-ImportExport Bilanz;Import;;PEI_evExtCharge_import;;EV Externe Beladung;kWhPEges./m²NGFa
;;PE-ImportExport Bilanz;Import;;PEI_import;;Primärenergie-Import;kWhPEges./m²NGFa
;;PE-ImportExport Bilanz;Export;;PEI_pv_export;;PV Netzeinspeisung PE;kWhPEges./m²NGFa
;;PE-ImportExport Bilanz;Export;;PEI_evOtherTravel_export;;EV Other Travels;
;;PE-ImportExport Bilanz;Export;;PEI_export;;Primärenergie-Export;kWhPEges./m²NGFa
;;PE-ImportExport Bilanz;;;PEI_saldo_project;;PE-IE-Bilanz Projektwert;kWhPEges./m²NGFa
;;PE-ImportExport Bilanz;;;PEI_saldo_target;;PE-IE-Bilanz Zielwert;kWhPEges./m²NGFa
;;PE-ImportExport Bilanz;Saldo;;PEI_importExport_balance;;importExport Saldo Projektwert - Zielwert;kWhPEges./m²NGFa
;;;;;fPE_grid;;PE Faktor Netzstrom Statistisch;
;;;;;fPE_eff;;PE Faktor Netzstrom Effektiv;
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_walls_fossile;;Bauteil Außenwand fossil;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_walls_biogenic;;Bauteil Außenwand biogen;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_life_walls;;Bauteil Außenwand Lebensdauer;Jahre
;;;;;GWP_ee_lc_walls_fossil;;;
;;;;;GWP_ee_lc_walls_biogenic;;;
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_lc_walls;;Bauteil Außenwand;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_windows_fossile;;Bauteil Fenster fossil;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_windows_bigenic;;Bauteil Fenster biogen;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_life_windows;;Bauteil Fenster Lebensdauer;Jahre
;;;;;GWP_ee_lc_windows_fossile;;;
;;;;;GWP_ee_lc_windows_biogenic;;;
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_lc_windows;;Bauteil Fenster;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_roof_fossile;;Bauteil Dach fossil;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_roof_biogenic;;Bauteil Dach biogen;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_life_roof;;Bauteil Dach Lebensdauer;Jahre
;;;;;GWP_ee_lc_roof_fossile;;;
;;;;;GWP_ee_lc_roof_biogenic;;;
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_lc_roof;;Bauteil Dach;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_ground_fossile;;Bauteil Decke gegen Erdreich / Keller fossil;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_ground_biogenic;;Bauteil Decke gegen Erdreich / Keller biogen;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_life_ground;;Bauteil Decke gegen Erdreich / Keller Lebensdauer;Jahre
;;;;;GWP_ee_lc_ground_fossile;;;
;;;;;GWP_ee_lc_ground_biogenic;;;
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_lc_ground;;Bauteil Decke gegen Erdreich / Keller;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_ceilings_fossile;;Bauteil Zwischengeschoßdecken fossil;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_ceilings_biogenic;;Bauteil Zwischengeschoßdecken biogen;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_life_ceilings;;Bauteil Zwischengeschoßdecken Lebensdauer;Jahre
;;;;;GWP_ee_lc_ceilings_fossile;;;
;;;;;GWP_ee_lc_ceilings_biogenic;;;
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_lc_ceil;;Bauteil Zwischengeschoßdecken;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_general_fossile;;Baulich Allgemein fossil;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_general_bigonenic;;Baulich Allgemein biogen;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_life_general;;Baulich Allgemein Lebensdauer;Jahre
;;;;;GWP_ee_lc_general_fossile;;;
;;;;;GWP_ee_lc_general_biogenic;;;
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_general;;Baulich Allgemein;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_other_fossile;;Baulich Andere fossil;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_other_biogenic;;Baulich Andere biogen;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_life_other;;Baulich Andere Lebensdauer;Jahre
;;;;;GWP_ee_lc_other_fossile;;;
;;;;;GWP_ee_lc_other_biogenic;;;
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_lc_other;;Baulich Sammel-Maßnahmen;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_direct_fossile;;Baulich Direkteingabe fossil;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_direct_biogenic;;Baulich Direkteingabe biogen;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_life_direct;;"Baulich 
Direkteingabe Lebensdauer";Jahre
;;;;;GWP_ee_lc_direct_fossile;;;
;;;;;GWP_ee_lc_direct_biogenic;;;
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_lc_direct;;Baulich Direkteingabe;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_con_build;;Baulich Errichtung;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_rep_build;;Baulich Instandsetzung;GWP 100A (kgCO2equiv/m²BGF)
;;;;;GWP_ee_lc_fossil;;Baulich Fossil;GWP 100A (kgCO2equiv/m²BGF)
;;;;;GWP_ee_lc_biogenic;;Baulich Biogen;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_lc_construction;;Baulich;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_tga_pv_fossile;;TGA PV fossil;GWP 100A (kgCO2equiv/m²BGF)
;;THG-Bilanz;Graue Emissionen;;GWP_ee_tga_pv_biogenic;;TGA PV biogen;GWP 100A (kgCO2equiv/m²BGF)
;;THG-Bilanz;Graue Emissionen;;GWP_life_tga_pv;;TGA PV Lebensdauer;Jahre
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_lc_pv;;TGA PV;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_tga_boreholes_fossile;;TGA Erdsonden fossil;GWP 100A (kgCO2equiv/m²BGF)
;;THG-Bilanz;Graue Emissionen;;GWP_ee_tga_boreholes_biogenic;;TGA Erdsonden biogen;GWP 100A (kgCO2equiv/m²BGF)
;;THG-Bilanz;Graue Emissionen;;GWP_life_tga_boreholes;;TGA Erdsonden Lebensdauer;Jahre
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_lc_boreholes;;TGA Erdsonden;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_tga_ventilation_fossile;;TGA Lüftung fossil;GWP 100A (kgCO2equiv/m²BGF)
;;THG-Bilanz;Graue Emissionen;;GWP_ee_tga_ventilation_biogenic;;TGA Lüftung biogen;GWP 100A (kgCO2equiv/m²BGF)
;;THG-Bilanz;Graue Emissionen;;GWP_life_tga_ventilation;;TGA Lüftung Lebensdauer;Jahre
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_lc_ventilation;;TGA Lüftung;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_tga_solarthermal_fossile;;TGA Solarthermie fossil;GWP 100A (kgCO2equiv/m²BGF)
;;THG-Bilanz;Graue Emissionen;;GWP_ee_tga_solarthermal_biogenic;;TGA Solarthermie biogen;GWP 100A (kgCO2equiv/m²BGF)
;;THG-Bilanz;Graue Emissionen;;GWP_life_solarthermal;;TGA Solarthermie Lebensdauer;Jahre
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_lc_solarthermal;;TGA Solarthermie;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_tga_battery_fossile;;TGA E-Batterie fossil;GWP 100A (kgCO2equiv/m²BGF)
;;THG-Bilanz;Graue Emissionen;;GWP_ee_tga_battery_biogenic;;TGA E-Batterie biogen;GWP 100A (kgCO2equiv/m²BGF)
;;THG-Bilanz;Graue Emissionen;;GWP_life_battery;;TGA E-Batterie Lebensdauer;Jahre
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_lc_battery;;TGA E-Batterie;GWP 100A (kgCO2equiv/m²BGF)
;;THG-Bilanz;Graue Emissionen;;GWP_ee_tga_storage_fossile;;TGA Speicher fossil;GWP 100A (kgCO2equiv/m²BGF)
;;THG-Bilanz;Graue Emissionen;;GWP_ee_tga_storage_biogenic;;TGA Speicher biogen;GWP 100A (kgCO2equiv/m²BGF)
;;THG-Bilanz;Graue Emissionen;;GWP_life_storage;;TGA Speicher Lebensdauer;Jahre
;;THG-Bilanz;Graue Emissionen;;GWP_ee_lc_storage;;TGA Speicher;GWP 100A (kgCO2equiv/m²BGF)
;;THG-Bilanz;Graue Emissionen;;GWP_ee_tga_general_fossile;;TGA Allgemein fossil;GWP 100A (kgCO2equiv/m²BGF)
;;THG-Bilanz;Graue Emissionen;;GWP_ee_tga_general_biogenic;;TGA Allgemein biogen;GWP 100A (kgCO2equiv/m²BGF)
;;THG-Bilanz;Graue Emissionen;;GWP_life_tga_general;;TGA Allgemein Lebensdauer;Jahre
;;THG-Bilanz;Graue Emissionen;;GWP_ee_lc_tga_general;;TGA Allgemein;GWP 100A (kgCO2equiv/m²BGF)
;;THG-Bilanz;Graue Emissionen;;GWP_ee_tga_other_fossile;;TGA Andere fossil;GWP 100A (kgCO2equiv/m²BGF)
;;THG-Bilanz;Graue Emissionen;;GWP_ee_tga_other_biogenic;;TGA Andere biogen;GWP 100A (kgCO2equiv/m²BGF)
;;THG-Bilanz;Graue Emissionen;;GWP_life_tga_other;;TGA Andere Lebensdauer;Jahre
;;THG-Bilanz;Graue Emissionen;;GWP_ee_lc_tga_other;;TGA Sammel-Maßnahmen;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_con_tga;;Errichtung TGA;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_rep_tga;;Instandsetzung TGA;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_lc_tga;;TGA;GWP 100A (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_mob_fossile;;Errichtung Mobilität fossil;GWP 100S (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_mob_ev;;Errichtung Mobilität Elektrisch;GWP 100S (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Graue Emissionen;;GWP_ee_lc_mob;;Errichtung Mobilität;GWP 100S (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Betrieb;pro Jahr;GWP_oe_battery_charge;;Betrieb Batterie Beladung;GWP pro Jahr (kgCO2equiv/m²BGFa)
☁;;;;;GWP_emInt_grid_avg;;Emissions-Intensität Netzstrom allgemein;gCO2eq/kWh
☁;;;;;GWP_emInt_grid;;Emissions-Intensität Netzstrombezug;gCO2eq/kWh
☁;;;;;GWP_emInt_flex;;Emissions-Intensität Flexibler Netzbezug;gCO2eq/kWh
☁;;;;;GWP_emInt_batt_charge;;Emissions-Intensität Batterie Beladung;gCO2eq/kWh
;;;;;GWP_emInt_ev_charge;;Emissions-Intensität EV ladung;gCO2eq/kWh
☁;;;;;GWP_emInt_PV_feedin;;Emissions-Intensität Netzeinspeisung;gCO2eq/kWh
☁;;THG-ImportExport Bilanz;Betrieb;pro Jahr;GWP_oe_grid_build;;Betrieb Gebäude Netzstrombezug;GWP pro Jahr (kgCO2equiv/m²BGFa)
☁;;THG-Bilanz;Betrieb;pro Jahr;GWP_oe_flex_build;;Betrieb Gebäude Flexibler Netzbezug;GWP pro Jahr (kgCO2equiv/m²BGFa)
☁;;THG-ImportExport Bilanz;Betrieb;pro Jahr;GWP_oe_district_heating;;Betrieb HKLS Fernwärme;GWP pro Jahr (kgCO2equiv/m²BGFa)
☁;;THG-ImportExport Bilanz;Betrieb;pro Jahr;GWP_oe_natural_gas;;Betrieb HKLS Erdgas;GWP pro Jahr (kgCO2equiv/m²BGFa)
☁;;THG-ImportExport Bilanz;Betrieb;pro Jahr;GWP_oe_biomass;;Betrieb HKLS Biomasse;GWP pro Jahr (kgCO2equiv/m²BGFa)
☁;;THG-ImportExport Bilanz;Betrieb;pro Jahr;GWP_oe_other;;Betrieb HKLS Sonstige;GWP pro Jahr (kgCO2equiv/m²BGFa)
☁;;THG-ImportExport Bilanz;Betrieb;pro Jahr;GWP_oe_grid_feedin;;Betrieb Netzeinspeisung;GWP pro Jahr (kgCO2equiv/m²BGFa)
☁;;THG-ImportExport Bilanz;Betrieb;pro Jahr;GWP_oe_building;;Betrieb Gebäude;GWP pro Jahr (kgCO2equiv/m²BGFa)
☁;;THG-Bilanz;Betrieb;pro Jahr;GWP_oe_mob_ev;;GWP MIV elektrisch INSGESAMTE LADUNG;GWP pro Jahr (kgCO2equiv/m²BGFa)
☁;;THG-ImportExport Bilanz;Betrieb;pro Jahr;GWP_oe_mob_ev_export;;GWP MIV Export (Anderer Verkehr);GWP pro Jahr (kgCO2equiv/m²BGFa)
☁;;THG-Bilanz;Betrieb;pro Jahr;GWP_oe_mob_fossile;;GWP MIV fossil;GWP pro Jahr (kgCO2equiv/m²BGFa)
☁;;THG-Bilanz;Betrieb;pro Jahr;GWP_oe_mob;;Mobilität (Ursächlich);GWP pro Jahr (kgCO2equiv/m²BGFa)
;;;;;GWP_oe;;GWP Quartier (Gebäude+MIV);GWP pro Jahr (kgCO2equiv/m²BGFa)
☁;;THG-Bilanz;Betrieb 2025-2075;2025-2075;GWP_oe_lc_grid_build;;LZ Betrieb Gebäude Netzstrombezug;GWP 100S (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Betrieb 2025-2075;2025-2075;GWP_oe_lc_flex_build;;LZ Betrieb Gebäude Flexibler Netzbezug;GWP 100S (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Betrieb 2025-2075;2025-2075;GWP_oe_lc_district_heating;;LZ Betrieb HKLS Fernwärme;GWP 100S (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Betrieb 2025-2075;2025-2075;GWP_oe_lc_natural_gas;;LZ Betrieb HKLS Erdgas;GWP 100S (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Betrieb 2025-2075;2025-2075;GWP_oe_lc_biomass;;LZ Betrieb HKLS Biomasse;GWP 100S (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Betrieb 2025-2075;2025-2075;GWP_oe_lc_other;;LZ Betrieb HKLS Sonstige;GWP 100S (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Betrieb 2025-2075;2025-2075;GWP_oe_lc_grid_feedin;;LZ Betrieb Netzeinspeisung;GWP 100S (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Betrieb 2025-2075;2025-2050;GWP_oe_lc_building;;LZ Betrieb Gebäude;
;;;;;GWP_oe_lc_emission;;LZ Betrieb Gebäude Emissionen;
;;;;;GWP_oe_lc_emission_savings;;LZ Betrieb Gebäude Vermiedene Emissionen;
☁;;THG-Bilanz;Betrieb 2025-2075;2025-2050;GWP_oe_lc_mob_ev;;LCA OE MIV elektrisch;GWP 100S (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Betrieb 2025-2075;2025-2075;GWP_oe_lc_mob_export;;LV Mobilitäts-Export;GWP 100S (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Betrieb 2025-2075;2025-2050;GWP_oe_lc_mob_fossile;;LCA OE MIV fossil;GWP 100S (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Betrieb 2025-2075;2025-2050;GWP_oe_lc_mob;;Mobilität;GWP 100S (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Betrieb 2025-2075;2025-2050;GWP_lc_total;;THG-Emissionen 2025-2075;GWP 100S (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Betrieb 2025-2075;2025-2050;GWP_lc_OE_total;;OE THG-Emissionen 2025-2075;GWP 100S (kgCO2equiv/m²BGF)
☁;;THG-Bilanz;Betrieb 2025-2075;2025-2050;GWP_lc_EE_total;;EE THG-Emissionen 2025-2075;GWP 100S (kgCO2equiv/m²BGF)
💸;;Stromkosten;;;cost_E_grid;;Kosten Netzbezug;€
💸;;Stromkosten;;;cost_VRGrid_flex;;Kosten Flexibler Bezug;€
💸;;Stromkosten;;;cost_PV_to_Egrid;;Kosten Netzeinspeisung;€
💸;;Stromkosten;;;cost_total;;Summe Kosten;€
;;Netzdienlichkeit der Energieflexibilität;;;flex_signal_ratio;;Freigabesignal Anteil Jahr;
;;Netzdienlichkeit der Energieflexibilität;;;flex_signal_ratio_winter;;Freigabesignal Anteil  Winter;
;;Netzdienlichkeit der Energieflexibilität;;;flex_signal_ratio_summer;;Freigabesignal Anteil  Sommer;
"""";;Netzdienlichkeit der Energieflexibilität;;;flex_GSRU;;Flex GSRU;
;;Netzdienlichkeit der Energieflexibilität;;;flex_GSRI;;Flex GSRI;
;;Netzdienlichkeit der Energieflexibilität;;;flex_GSR;;Flex GSR;
;;PV;;;PV_own_consumption_direct;;PV Eigenverbrauch direkt;
;;PV;;;PV_own_consumption_flex;;PV Eigenverbrauch flex;
S;;PV;;;PV_own_consumption;;PV Eigenverbrauch insgesamt;
;;PV;;;EUI_self_sufficiency;;Energie-Autonomie;
🔋;;Batterienutzung;;;Batt_total_charge;;Batterie Jährliche Beladung;kWh/m²NGFa
🔋;;Batterienutzung;;;Batt_total_discharge;;Jährliche Entladung;kWh/m²NGFa
🔋;;Batterienutzung;;;Batt_charge_losses;;Verluste Beladung;kWh/m²NGFa
🔋;;Batterienutzung;;;Batt_discharge_losses;;Verluste Entladung;kWh/m²NGFa
🔋;;Batterienutzung;;;Batt_RTE;;Round-Trip- Efficiency;
🔋;;Batterienutzung;;;Batt_FEC;;Batterie Volladezyklen;x
;;Mobilität;StatPAX;;StatPAX;;Quartier;StatPAX
;;Mobilität;Jkm;;mob_annual_milage_district;;Gesamtverkehr;km/a
;;Mobilität;JPkm;;mob_annual_mileage_PAX;;Gesamtverkehr pro STATPAX;km/PAX/a
;;Mobilität;Statistisch;;UED_mob_el_target;;EE-Bedarf Zielverkehr Elektrisch;kWh/m²NGFa
;;Mobilität;Statistisch;;EUI_mob_fossile;;EE-Bedarf Zielverkehr Fossil;kWh/m²NGFa
;;Mobilität;Real;;EV_FEC;;EV Volladezyklen;
;;Mobilität;Real;;UED_mob_el_total;;Gesamtverkehr elektrisch;kWh/m²NGFa
;;Mobilität;Real;;UED_mob_el_other;;Quell- und anderer Verkehr elektrisch;kWh/m²NGFa
;;Mobilität;;;EUIev_el_total;;EV Jährliche Beladung;
;;Warmwasser;;;Edhw_th;;WW Endenergiebedarf Thermisch;kWh/m²NGFa
;;Warmwasser;;;Edhw_el;;WW Endenergiebedarf Elektrisch (inkl. Hilfsstrom);kWh/m²NGFa
;;Warmwasser;;;Edhw_aux_el;;WW Hilfsstrom;
;;Warmwasser;;;Edhw_1_th;;WW 1 Endenergie thermisch;kWh/m²NGFa
;;Warmwasser;;;Edhw_1_el;;WW 1 Endenergie elektrisch (inkl. Hilfsstrom);kWh/m²NGFa
;;Warmwasser;;;Edhw_1_aux_el;;WW 1 Hilfsstrom;kWh/m²NGFa
;;Warmwasser;;;Edhw_2_th;;WW 2 Endenergie thermisch;kWh/m²NGFa
;;Warmwasser;;;Edhw_2_el;;WW 2 Endenergie elektrisch (inkl.Hilfsstrom);kWh/m²NGFa
;;Warmwasser;;;Edhw_2_aux_el;;WW 2 Hilfsstrom;kWh/m²NGFa
