var_name;ka;Type;Name;Einheit;Kommentar;Icon;Formel
Batt_auto_discharge_factor;0;calculation;Batterie Selbstentladung pro Stunde;;;🔋;Batt_self_discharge_rate/7/24
Batt_SOC_init;1;value;Batterie Initialer SOC;%;;🔋;
Batt_is_used_for_plugloads;1;value;Batterie Nutzung für Nutzerstrom;bool;;🔋;
Batt_is_used_for_HVACminimum;1;value;Batterie Nutzung für HKLS Minimum;bool;;🔋;
Batt_is_used_for_EV;1;value;Batterie Nutzung für Ecars;bool;;🔋;
Batt_is_gridcharged;2;ui_writeback;Batterie wird flexibel  durch Netz geladen?;bool;;🔋;
flex_dhw_use;1;value;Flexible WW-Speicherbeladung;bool;;🔋;
flex_Signals_selected_column;0;calculation;Flex Signal Table;;;🔋;"VERGLEICH(FLEX_signal_name;Signals[#Kopfzeilen];0)"
Batt_is_not_used_during_signals;1;value;Batterie wird während Netzsignal nicht entladen;;;🔋;
mobility_is_included;2;ui_writeback;MIV simulieren;bool;;🚗;
mobility_region;0;calculation;Mobilitätsregion;str;;🚗;"WENNFEHLER(SVERWEIS(K206;gemeinden;3;FALSCH)&WENN(mobility_mode=""Vereinfacht"";"" optimiert"";""""); ""Keine Region ausgewählt."")"
mobshare_residential;0;calculation;Zielverkehrsanteil Wohnen;%;;🚗;"SVERWEIS(mobility_region; Regionstypen; 2;FALSCH)"
mobshare_office;0;calculation;Zielverkehrsanteil Büro;%;;🚗;"SVERWEIS(mobility_region; Regionstypen; 3;FALSCH)"
mobshare_school;0;calculation;Zielverkehrsanteil Ausbildung;%;;🚗;"SVERWEIS(mobility_region; Regionstypen; 4;FALSCH)"
mobshare_retail;0;calculation;Zielverkehrsanteil Handel;%;;🚗;"SVERWEIS(mobility_region; Regionstypen; 5;FALSCH)"
pkm_pedestrian;0;calculation;Pkm Zu Fuß;Pkm;;🚗;"SVERWEIS(mobility_region; Regionstypen; 6;FALSCH)"
pkm_bike;0;calculation;Pkm Fahrrad;Pkm;;🚗;"SVERWEIS(mobility_region; Regionstypen; 7;FALSCH)"
pkm_mofa;0;calculation;Pkm Moped;Pkm;;🚗;"SVERWEIS(mobility_region; Regionstypen; 8;FALSCH)"
pkm_car_driver;0;calculation;Pkm PKW-LenkerIn;Pkm;;🚗;"SVERWEIS(mobility_region; Regionstypen; 9;FALSCH)"
pkm_car_passenger;0;calculation;Pkm PKW-MitfahrerIn;Pkm;;🚗;"SVERWEIS(mobility_region; Regionstypen; 10;FALSCH)"
pkm_bus;0;calculation;Pkm Stadt/ Regionalbus;Pkm;;🚗;"SVERWEIS(mobility_region; Regionstypen; 11;FALSCH)"
pkm_tram_metro;0;calculation;Pkm Straßenbahn/U-Bahn;Pkm;;🚗;"SVERWEIS(mobility_region; Regionstypen; 12;FALSCH)"
pkm_train;0;calculation;Pkm Eisenbahn;Pkm;;🚗;"SVERWEIS(mobility_region; Regionstypen; 13;FALSCH)"
pkm_distancebus;0;calculation;Pkm Reisebus;Pkm;;🚗;"SVERWEIS(mobility_region; Regionstypen; 14;FALSCH)"
parking_spots_in_district;2;userinput;Stellplätze;Anzahl;;🚗;🚗!D81
mobility_vehicle_count;2;userinput;Fahrzeuge;Anzahl;;🚗;🚗!D77
EV_share;2;userinput;Anteil Ecars;%;Am Mobilitätsbedarf;🚗;🚗!D38
EV_demand_kWhpkm;2;userinput;Ecar Energieverbrauch;kWh/km;;🚗;🚗!D59
EV_battsize_kWh;2;userinput;Ecar Speicher pro Fahrzeug;kWh/EV;;🚗;🚗!D55
EV_storage_total_kWh;0;calculation;Ecar Speicher im Quartier;kWh;;🚗;K770*K767
EV_self_discharge_per_week;2;userinput;Ecar Selbstentladung wöchentlich;%/Woche;;🚗;🚗!D56
EV_selfdischarge_per_h;0;calculation;Ecar Selbstentladung stündlich;%/h;;🚗;K772/24/7
EV_soc_minimum;1;value;Ecar Mindest-Speicherstand;%;;🚗;
EV_charging_efficiency;2;userinput;Ecar Batterie-Effizienz Beladung;%;;🚗;🚗!D57
EV_charging_losses_surcharge_factor;0;calculation;Ecar Batterie-Effizienz Beladung Kehrwert;;;🚗;"WENNFEHLER(1/K775;0)"
EV_max_charging_power_ratio;1;value;Ecar Batterie Maximale Beladungsleistung;%;;🚗;
EV_soc_min_work;1;value;Ecar Mindestspeicherstand Arbeit;;;🚗;
EV_soc_min_retail;1;value;Ecar Mindestspeicherstand Handel;;;🚗;
moped_factor;1;value;Moped im Verhältnis zu Auto;;;🚗;
EV_share_constant_charging;1;value;Anteil Ecars, die konstant vor Ort laden;%;Rest konstantes Laden;🚗;
mob_pkm_factor;2;userinput;Reduktionsfaktor JPkm MIV;Anteil;;🚗;🚗!D29
EV_experimental_calculation;1;value;New Calculation Method;;;🚗;
EV_mileage_res;0;calculation;Ecar Pkm Real Wohnen (Insgesamt);Pkm/a;;🚗;mobility_is_included*(EV_share*StatPAX_res*pkm_car*mob_pkm_factor)
EV_mileage_work;0;calculation;Ecar Pkm Real Arbeiten (Insgesamt);Pkm/a;;🚗;mobility_is_included*(mob_pkm_factor*EV_share*pkm_car*(mob_simultaneity_office*StatPAX_office+mob_simultaneity_edu*(StatPAX_eduprim+StatPAX_edusec)))
EV_mileage_retail;0;calculation;Ecar Pkm Real Einkaufen (Insgesamt);Pkm/a;;🚗;mobility_is_included*(mob_pkm_factor*EV_share*pkm_car*mob_simultaneity_retail*(StatPAX_retail+StatPAX_retailother))
EV_soc_min_ext;2;userinput;Ecar Mindest-Speicherstand Extern;;;🚗;🚗!D66
EV_soc_min_discharge;2;userinput;Ecar Mindest-Speicherstand Entladung;;;🚗;🚗!D71
fossile_demand_kWhpkm;1;value;Fossiler Energieverbrauch;kWh/km;;🚗;
EV_count_residential;0;calculation;Ecar Anzahl Wohnen;🚗;;🚗;EV_share*NFA_residential/100*mob_motorization_perNFA_residential*mobility_is_included
EV_count_work;0;calculation;Ecar Anzahl Arbeit;🚗;;🚗;EV_share*(NFA_office*mob_simultaneity_office+mob_simultaneity_edu*(NFA_schoolprim+NFA_schoolsec))/100*mob_motorization_perNFA_work*mobility_is_included
EV_count_retail;0;calculation;Ecar Anzahl Einkaufen;🚗;;🚗;EV_share*mob_simultaneity_retail*(NFA_retailfood+NFA_retailother)/100*mob_motorization_perNFA_retail*mobility_is_included
ev_bidirectional_use;2;ui_writeback;Bidirektionales Laden;;;🚗;
GWP_walls_name;2;userinput;Typ Außenwand;;;☁;☁THG'!D21
GWP_windows_name;2;userinput;Typ Fenster;;;☁;☁THG'!D22
GWP_roof_name;2;userinput;Typ Dach;;;☁;☁THG'!D23
GWP_ground_name;2;userinput;Typ Decke gegen Erdreich;;;☁;☁THG'!D24
GWP_ceilings_name;2;userinput;Typ Zwischendecken;;;☁;☁THG'!D25
GWP_general_name;2;userinput;Typ Bauliche Maßnahmen Allgemein;;;☁;☁THG'!D26
GWP_other_name;2;userinput;Typ Andere bauliche Maßnahmen;;;☁;☁THG'!D28
GWP_ref_area_walls;2;userinput;Bezugsfläche Außenwand;m²;;☁;☁THG'!F21
GWP_ref_area_windows;2;userinput;Bezugsfläche Fenster;m²;;☁;☁THG'!F22
GWP_ref_area_roof;2;userinput;Bezugsfläche Dach;m²;;☁;☁THG'!F23
GWP_ref_area_fundament;2;userinput;Bezugsfläche Fundament;m²;;☁;☁THG'!F24
GWP_ref_area_ceilings;2;userinput;Bezugsfläche Zwischengeschoßdecken;m²;;☁;☁THG'!F25
GWP_refratio_walls;0;calculation;Bezug pro BGF (Außenwand);m²AW/m²BGF;;☁;K802/GFA_total
GWP_refratio_windows;0;calculation;Bezug pro BGF (Fenster);m²Fe/m²BGF;;☁;K803/GFA_total
GWP_refratio_roof;0;calculation;Bezug pro BGF (Dach);m²Dach/m²BGF;;☁;K804/GFA_total
GWP_refratio_fundament;0;calculation;Bezug pro BGF (Fundament);m²KB/m²BGF;;☁;K805/GFA_total
GWP_refratio_ceilings;0;calculation;Bezug pro BGF (Zwischengeschoßdecken);m²Zwd/m²BGF;;☁;K806/GFA_total
GWP_pv_name;2;userinput;Typ PV-Anlage;;;☁;☁THG'!D42
GWP_refratio_pv;0;calculation;Bezug pro BGF (PV);m²PV/m²BGF;;☁;PV_module_area/GFA_total
GWP_boreholes_name;2;userinput;Typ Erdwärmesonden;;;☁;☁THG'!D43
borehole_count;2;userinput;Anzahl Erdsonden;Stk Erdsonden;;☁;☁THG'!E43
GWP_ventilation_name;2;userinput;Typ Komfortlüftung;;;☁;☁THG'!D44
GWP_solarthermal_name;2;userinput;Typ Solarthermie;;;☁;☁THG'!D45
GWP_battery_name;2;userinput;Typ E-Batterie;;;☁;☁THG'!D47
GWP_storage_name;2;userinput;Typ Pufferspeicher;;;☁;☁THG'!D48
GWP_tga_general_name;2;userinput;Typ  Allgemein;;;☁;☁THG'!D49
GWP_tga_other_name;2;userinput;Typ  Andere bauliche Maßnahmen;;;☁;☁THG'!D51
GWP_refratio_boreholes;0;calculation;Bezug pro BGF (Erdsonden);StkErdsonden/m²BGF;;☁;borehole_count/GFA_total
GWP_direct_fossile;2;userinput;Direkteingabe GWP Fossil;;;☁;☁THG'!D30
GWP_direct_biogenic;2;userinput;Direkteingabe GWP Biogen;;;☁;☁THG'!D31
GWP_direct_biogenic_share;1;value;Direkteingabe Biogener Anteil;;;☁;
GWP_direct_life;1;value;Direkteingabe Lebensdauer;;;☁;
GWP_miv_count_ev;0;calculation;GWP Herstellung E-Cars;Anzahl Fahrzeuge;;☁;K830*EV_share
GWP_miv_count_fossile;0;calculation;GWP Herstellung Verbrenner;Anzahl Fahrzeuge;;☁;K830-K831
GWP_mobility_construction_fossil;2;userinput;GWP Verbrenner;t CO2/Fahrzeug;;☁;☁THG'!D56
GWP_mobility_construction_ev;1;value;GWP E-Car;t CO2/Fahrzeug;;☁;
GHG_LCA_timeframe_years;1;value;Betrachtungszeitraum Ökobilanz;;;☁;
GWP_mobility_moped_gpPKm;1;value;GWP Mobilität Moped;GWP 100S (gCO2equiv/Pkm);;☁;
GWP_mobility_car_gpPKm;1;value;GWP Mobilität PKW;GWP 100S (gCO2equiv/Pkm);;☁;
year_rcp0;1;value;Bezugsjahr Ausgangssituation;;;☁;
year_rcp1;1;value;Bezugsjahr Stütztstelle 1;;;☁;
year_rcp2;1;value;Bezugsjahr Stütztstelle 2;;;☁;
year_rcp3;1;value;Bezugsjahr Stütztstelle 3;;;☁;
grid_rcp1;1;value;Absenkfaktor 1 Netzstrom;;;☁;
grid_rcp2;1;value;Absenkfaktor 2 Netzstrom;;;☁;
grid_rcp3;1;value;Absenkfaktor 3 Netzstrom;;;☁;
rcp1_renewable;1;value;Absenkfaktor 1 Erneuerbare;;;☁;
rcp2_renewable;1;value;Absenkfaktor 2 Erneuerbare;;;☁;
rcp3_renewable;1;value;Absenkfaktor 3 Erneuerbare;;;☁;
rcp1_dh;0;calculation;Absenkfaktor 1 Fernwärme;;;☁;"WENNFEHLER(WENN(FINDEN(""rneuerbar"";SVERWEIS(heat_th2_carrier_type;cf_constant;7;FALSCH));rcp1_renewable;#NV);rcp1_fossil)"
rcp2_dh;0;calculation;Absenkfaktor 2 Fernwärme;;;☁;"WENNFEHLER(WENN(FINDEN(""rneuerbar"";SVERWEIS(heat_th2_carrier_type;cf_constant;7;FALSCH));rcp2_renewable;#NV);rcp2_fossil)"
rcp3_dh;0;calculation;Absenkfaktor 3 Fernwärme;;;☁;"WENNFEHLER(WENN(FINDEN(""rneuerbar"";SVERWEIS(heat_th2_carrier_type;cf_constant;7;FALSCH));rcp3_renewable;#NV);rcp3_fossil)"
rcp1_fossil;1;value;Absenkfaktor 1 Andere Fossile;;;☁;
rcp2_fossil;1;value;Absenkfaktor 2 Andere Fossile;;;☁;
rcp3_fossil;1;value;Absenkfaktor 3 Andere Fossile;;;☁;
GWP_rcpi_grid;0;calculation;Absenkpfad-Integral Netzstrom;;;☁;(year_rcp1-year_rcp0+1)*(1+grid_rcp1)/2+(year_rcp2-year_rcp1+1)*(grid_rcp1+grid_rcp2)/2+(year_rcp3-year_rcp2+1)*(grid_rcp3+grid_rcp2)/2-grid_rcp1-grid_rcp2
GWP_rcpi_grid_substition;0;calculation;Absenkpfad-Integral Substi;;;☁;(year_rcp1-year_rcp0+1)*(1+grid_rcp1)/2+(year_rcp2-year_rcp1+1)*(grid_rcp1+grid_rcp2)/2+(year_rcp3-year_rcp2+1)*(grid_rcp3+grid_rcp2)/2-grid_rcp1-grid_rcp2
GWP_rcpi_district_heating;0;calculation;Absenkpfad-Integral Fernwärme;;;☁;(year_rcp1-year_rcp0+1)*(1+rcp1_dh)/2+(year_rcp2-year_rcp1+1)*(rcp1_dh+rcp2_dh)/2+(year_rcp3-year_rcp2+1)*(rcp2_dh+rcp3_dh)/2-rcp1_dh-rcp2_dh
GWP_rcpi_fossil;0;calculation;Absenkpfad-Integral Fossil;;;☁;(year_rcp1-year_rcp0+1)*(1+rcp1_fossil)/2+(year_rcp2-year_rcp1+1)*(rcp1_fossil+rcp2_fossil)/2+(year_rcp3-year_rcp2+1)*(rcp2_fossil+rcp3_fossil)/2-rcp1_fossil-rcp2_fossil
GWP_rcpi_natural_gas;0;calculation;Absenkpfad-Integral Gas;;;☁;GWP_rcpi_fossil
GWP_rcpi_biomass;0;calculation;Absenkpfad-Integral Biomasse;;;☁;GWP_rcpi_natural_gas
GWP_rcpi_mob_fossile;0;calculation;Absenkpfad-Integral MIV Fossil;;;☁;GWP_rcpi_biomass
GWP_rcpi_renewable;0;calculation;Absenkpfad-Integral Erneuerbar;;;☁;(year_rcp1-year_rcp0+1)*(1+rcp1_renewable)/2+(year_rcp2-year_rcp1+1)*(rcp1_renewable+rcp2_renewable)/2+(year_rcp3-year_rcp2+1)*(rcp2_renewable+rcp3_renewable)/2-rcp1_renewable-rcp2_renewable
fPE_grid_profile;2;userinput;Strom Konversionsprofil PE;;;⚖;🚦Signals!D2
district_heating_conversion_profile;1;value;Fernwärme Konversionsprofil;;;⚖;
fGHG_grid_profile;2;userinput;Strom Konversionsprofil THG;;;⚖;🚦Signals!D3
fPE_grid_column;0;calculation;Strom Konversionsprofil ID PE;;;⚖;"VERGLEICH(fPE_grid_profile;fPE[#Kopfzeilen];0)"
fGHG_grid_column;0;calculation;Strom Konversionsprofil ID THG;;;⚖;"VERGLEICH(fGHG_grid_profile;fGHG[#Kopfzeilen];0)"
heat_th2_is_dh;0;calculation;PE Heizen 2 ist Fernwärme;bool;;⚖;"--ISTZAHL(FINDEN(""Fernwärme"";heat_th2_carrier_type))"
heat_th4_is_dh;0;calculation;PE Heizen 4 ist Fernwärme;bool;;⚖;"--ISTZAHL(FINDEN(""Fernwärme"";heat_th4_carrier_type))"
cool_th2_is_dh;0;calculation;PE Kühlen 2 ist Fernwärme;bool;;⚖;"--ISTZAHL(FINDEN(""Fernwärme"";cool_th2_carrier_type))"
dhw1_is_dh;0;calculation;PE WWWB 1 ist Fernwärme;bool;;⚖;"--ISTZAHL(FINDEN(""Fernwärme"";dhw1_energy_carrier))"
dhw2_is_dh;0;calculation;PE WWWB 2 ist Fernwärme;bool;;⚖;"--ISTZAHL(FINDEN(""Fernwärme"";dhw2_energy_carrier))"
heat_th2_is_ng;0;calculation;PE Heizen 2 ist Erdgas;bool;;⚖;"--ISTZAHL(FINDEN(""Erdgas"";heat_th2_carrier_type))"
heat_th4_is_ng;0;calculation;PE Heizen 4 ist Erdgas;bool;;⚖;"--ISTZAHL(FINDEN(""Erdgas"";heat_th4_carrier_type))"
cool_th2_is_ng;0;calculation;PE Kühlen 2 ist Erdgas;bool;;⚖;"--ISTZAHL(FINDEN(""Erdgas"";cool_th2_carrier_type))"
dhw1_is_ng;0;calculation;PE WWWB 1 ist Erdgas;bool;;⚖;"--ISTZAHL(FINDEN(""Erdgas"";dhw1_energy_carrier))"
dhw2_is_ng;0;calculation;PE WWWB 2 ist Erdgas;bool;;⚖;"--ISTZAHL(FINDEN(""Erdgas"";dhw2_energy_carrier))"
heat_th2_is_bio;0;calculation;PE Heizen 2 ist Biomasse;bool;;⚖;"--ISTZAHL(FINDEN(""Biomasse"";heat_th2_carrier_type))"
heat_th4_is_bio;0;calculation;PE Heizen 4 ist Biomasse;bool;;⚖;"--ISTZAHL(FINDEN(""Biomasse"";heat_th4_carrier_type))"
cool_th2_is_bio;0;calculation;PE Kühlen 2 ist Biomasse;bool;;⚖;"--ISTZAHL(FINDEN(""Biomasse"";cool_th2_carrier_type))"
dhw1_is_bio;0;calculation;PE WWWB 1 ist Biomasse;bool;;⚖;"--ISTZAHL(FINDEN(""Biomasse"";dhw1_energy_carrier))"
dhw2_is_bio;0;calculation;PE WWWB 2 ist Biomasse;bool;;⚖;"--ISTZAHL(FINDEN(""Biomasse"";dhw2_energy_carrier))"
heat_th2_is_other;0;calculation;PE Heizen 2 ist Sonstige;bool;;⚖;"--NICHT(ODER(K885;K890;K895))"
heat_th4_is_other;0;calculation;PE Heizen 4 ist Sonstige;bool;;⚖;"--NICHT(ODER(K886;K891;K896))"
cool_th2_is_other;0;calculation;PE Kühlen 2 ist Sonstige;bool;;⚖;"--NICHT(ODER(K887;K892;K897))"
dhw1_is_other;0;calculation;PE WWWB 1 ist Sonstige;bool;;⚖;"--UND(NICHT(ODER(K888;K893;K898)); DHW_1_is_used)"
dhw2_is_other;0;calculation;PE WWWB 2 ist Sonstige;bool;;⚖;"--UND(NICHT(ODER(K889;K894;K899));DHW_2_is_used)"
fPE_flex_factor;1;value;Flexibler Netzbezug Anteil PE-Faktor;;;⚖;
pe_conversion_factor_gasoline;1;value;PE-Konversionsfaktor Kraftstoff;kWhPE/kWhEE;;⚖;
ghg_conversion_factor_gasoline;0;obsolet;;;;⚖;[@Buffer]
cfd_fPE;1;value;Primärenergiefaktor;kWhPE/kWhEE;f_PE;🏆;
cfd_A;1;value;Ausnutzungsfaktor Erneuerbare;kWhEE/m²GF;A;🏆;
cfd_dx;1;value;Skalierungsfaktor;-;dx;🏆;
cfd_EUI;1;value;Energieintensität Bedarf;kWhEE/m²NGFa;EUI;🏆;
cfd_cutoff;1;value;Maximum;kWhPE/m²NGFa;cutoff;🏆;
cfm_budget_residential;1;value;Mobilitätsbudget Wohnen;kWhPE/m²NGFa;;🏆;
cfm_budget_office;1;value;Mobilitätsbudget Büro;kWhPE/m²NGFa;;🏆;
cfm_budget_school;1;value;Mobilitätsbudget Ausbildung;kWhPE/m²NGFa;;🏆;
cfm_budget_retail;1;value;Mobilitätsbudget Handel + Sonstige;kWhPE/m²NGFa;;🏆;
cfr_budget;1;value;Kontextfaktor Sanierung;kWhPE/m²NGFa;;🏆;
StatPAX_res;0;calculation;Mobilitätsstatistische Nutzer Wohnen;StatPAX;;🚗;NFA_residential/density_NFApPers_residential
StatPAX_office;0;calculation;Mobilitätsstatistische Nutzer Büro;StatPAX;;🚗;NFA_office/density_NFApPers_office
StatPAX_edusec;0;calculation;Mobilitätsstatistische Nutzer Schule sekundär;StatPAX;;🚗;NFA_schoolsec/density_NFApPers_edu
StatPAX_eduprim;0;calculation;Mobilitätsstatistische Nutzer Schule primär;StatPAX;;🚗;NFA_schoolprim/density_NFApPers_edu_rpim
StatPAX_retail;0;calculation;Mobilitätsstatistische Nutzer Handel Supermarkt;StatPAX;;🚗;NFA_retailfood/density_NFApPers_retail
StatPAX_retailother;0;calculation;Mobilitätsstatistische Nutzer Handel Sonstige;StatPAX;;🚗;NFA_retailother/density_NFApPers_retail_other
e_kWhm2a;1;value;Test precision kWhm2NFAa;;;☑;
EV_charging_stations;2;userinput;Anzahl Ladestationen;-;;🚗;🚗!D48
EV_charging_station_power;2;userinput;Leistung Ladestation;kW;;🚗;🚗!D49
daylightcontr_office;1;value;Anteil Tageslichtgesteuert Büro;;;💡;
daylightcontr_schoolsec;1;value;Anteil Tageslichtgesteuert Ausbildung Sekundär;;;💡;
daylightcontr_schoolprim;1;value;Anteil Tageslichtgesteuert Ausbildung Primär;;;💡;
lighting_factor_retailfood;2;userinput;Beleuchtung Skalierung Büro;kWh/m²a;;💡;👤!V13
lighting_factor_retailother;2;userinput;Beleuchtung Skalierung Ausbildung Sekundär;kWh/m²a;;💡;👤!V14
lighting_factor_other;2;userinput;Beleuchtung Skalierung Ausbildung Primär;kWh/m²a;;💡;👤!V15
DHW_occupancy_residential;2;userinput;Personenbelegung Wohnen;m²NF/Pers;;💧;💧WW!D60
DHW_occupancy_office;2;userinput;Personenbelegung Büro;m²NF/Pers;;💧;💧WW!D61
DHW_occupancy_schoolsec;2;userinput;Personenbelegung Bildung sekundär;m²NF/Pers;;💧;💧WW!D62
DHW_occupancy_schoolprim;2;userinput;Personenbelegung Bildung primär;m²NF/Pers;;💧;💧WW!D63
DHW_occupancy_retailfood;2;userinput;Personenbelegung Handel Lebensmittel;m²NF/Pers;;💧;💧WW!D64
DHW_occupancy_retailother;2;userinput;Personenbelegung Handel sonstiger;m²NF/Pers;;💧;💧WW!D65
DHW_occupancy_other;2;userinput;Personenbelegung Sonstige;m²NF/Pers;;💧;💧WW!D66
DHW_concurrency_residential;2;userinput;WW Gleichzeitigkeitsfaktor Wohnen;;;💧;💧WW!D51
DHW_concurrency_office;2;userinput;WW Gleichzeitigkeitsfaktor Büro;;;💧;💧WW!D52
DHW_concurrency_schoolsec;2;userinput;WW Gleichzeitigkeitsfaktor Bildung sekundär;;;💧;💧WW!D53
DHW_concurrency_schoolprim;2;userinput;WW Gleichzeitigkeitsfaktor bildung primär;;;💧;💧WW!D54
DHW_concurrency_retailfood;2;userinput;WW Gleichzeitigkeitsfaktor Handel Lebensmittel;;;💧;💧WW!D55
DHW_concurrency_retailother;2;userinput;WW Gleichzeitigkeitsfaktor handel sonstiger;;;💧;💧WW!D56
DHW_concurrency_other;2;userinput;WW Gleichzeitigkeitsfaktor Sonstige;;;💧;💧WW!D57
DHW_storage_liter_pPerson;2;userinput;Warmwasser Speicher pro Person;l/Pers/Tag;;💧;💧WW!D46
DHW_thermal_power_pPerson;1;value;Warmwasser Ladeleistung Thermisch;W/Pers;;💧;
DHW_thermal_power_Wpl;0;calculation;Warmwasser Ladeleistung Thermisch pro Speicher;W/l;;💧;DHW_thermal_power_pPerson/DHW_storage_liter_pPerson
DHW_storage_env_temp_default;2;userinput;Warmwasser Speicher Umgebungstemperatur;°C;;💧;💧WW!D47
